Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Ветеринарный врач,13 апреля 2023,50000,"АО ""ПЗ ""МЕЛИОРАТОР""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Оператор по искусственному осеменению животных и птицы,03 июля 2020,30000,"АО ""ПЗ ""МЕЛИОРАТОР""",Не имеет значения,Полная,Нет,РФ,"Проведение    подготовительных    работ    по   искусственному осеменению:  подготовка  физиологических  растворов,  оттаивание спермы и оценка ее качества. Подготовка  медикаментов,  мойка,  дезинфекция  и стерилизация инструментов, приборов, посуды. Проведение   санобработки   животных  и  птицы,  намеченной  к осеменению. Поддержание в чистоте пункта искусственного осеменения. Учет осемененных животных и птицы. 2.6. Стирка полотенец и спецодежды.  Отопление и уборка пункта.",заниматься увеличением поголовья животныхДисциплинированностьОтветственностьОбучаемостьИнициативностьКоммуникабельность,Среднее профессиональное,NULL,Полный рабочий день
Агроном,13 апреля 2023,60000,"АО ""ПЗ ""МЕЛИОРАТОР""",Не имеет значения,Полная,Нет,РФ,"Проводит научные исследования в области агрономии. Изучает и внедряет и внедряет передовые методы возделывания полевых, садовых, огородных культур. Разрабатывает и внедряет технологии по борьбе с вредителями, болезнями растений и сорняками.Разрабатывает агротехнические мероприятия, направленные на повышение плодородия почв и увеличения урожайности сельскохозяйственных культур. Разрабатывает производственные планы, виды и количества посадочных культур. Ведет переговоры и готовит проекты договоров на приобретение семян растений, саженцев и удобрений. Организует работу по выращиванию высококачественных сортовых семян и посадочного материала, созданию семенных фондов. Организует работу по подготовке почвы к посеву и посадке. Разрабатывает мероприятия по приготовлению и внесению удобрений в почву. Осуществляет контроль над подготовкой семян и посадочного материала. Организует работы по посеву полевых культур. Разрабатывает планы (календарные графики по уходу за посевами.",NULL,Высшее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,19000,"СПК ""8-Е МАРТА""",Не имеет значения,Полная,Нет,РФ,"Согласно должностной инструкции, трудового договора и проф. стандртов.",Ответственность,Полное общее,NULL,Сменный график
Тракторист-машинист,13 апреля 2023,25000,"СХПК ""БИТИМСКИЙ""",Не имеет значения,Полная,Нет,РФ,NULL,Ответственность,Полное общее,NULL,Полный рабочий день
Овощевод,20 мартa 2022,13890,"ООО ТК ""СМОЛЕНСКИЙ""",Не имеет значения,Полная,Нет,РФ,"Подготовка участка к посеву и посадке овощной культуры, выполнение технологических операций по уходу за рассадой овощных культур, высаживание рассады овощных культур,	уход за овощными культурами, сбор и сортировка урожая овощных культур.",NULL,Полное общее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,35000,КОЛХОЗ - ПЛЕМЕННОЙ ЗАВОД ИМ. ЛЕНИНА,Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Зоотехник,13 апреля 2023,30000,ИП Четырин Н. А.,Молодой специалист (1-3 года),Полная,Нет,РФ,"расчет требуемого количества кормов,определение режима содержания животных,учет продуктивности животных",NULL,Среднее профессиональное,NULL,Полный рабочий день
Ветеринарный врач,13 апреля 2023,30000,ИП Четырин Н. А.,Молодой специалист (1-3 года),Полная,Нет,РФ,"исследование причин возникновения, процессов протекания болезней животных, разработку методов их лечения и профилактики;     -  проведение  осмотра  животных  и  диагностирование их болезней и повреждений;   проведение    ветеринарных   мероприятий   по   предупреждению заболеваний и падежа животных;     -  обеспечение  выполнения  зоогигиенических  и ветеринарных правилпри содержании, кормлении животных и уходе за ними;     - проведение ветеринарно-санитарной экспертизы скота и птицы.",NULL,Высшее,NULL,Полный рабочий день
Тракторист,13 апреля 2023,20000,ИП ДУБОВИК П. Н.,Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Зоотехник,13 апреля 2023,20000,ИП глава КФХ Дугаржапов Батор Цырендоржиевич,Не имеет значения,Полная,Нет,РФ,"проводить зоотехническую работу на ферме, обеспечивая при этом рост производства продукции животноводства и повышение ее качества",NULL,Высшее,NULL,Ненормированный рабочий день
Оператор по искусственному осеменению животных и птицы,13 апреля 2023,20000,ИП глава КФХ Дугаржапов Батор Цырендоржиевич,Не имеет значения,Полная,Нет,РФ,Выполнять действующую инструкцию по искусственному осеменению коров и телок.,NULL,Среднее профессиональное,NULL,Ненормированный рабочий день
Агроном,13 апреля 2023,20000,"Общество с ограниченной ответственность ""Агрофирма Земледелец""",Не имеет значения,Полная,Нет,РФ,должностные обязанности в соответствии с трудовым договором и должностной инструкцией,NULL,Высшее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,44000,"ЗАО ""ПРЕДПОРТОВЫЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Тракторист-машинист,13 апреля 2023,43000,"ЗАО ""ПРЕДПОРТОВЫЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Агроном по защите растений,13 апреля 2023,21000,"Общество с ограниченной ответственностью ""Формула Роста""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Проводит научные исследования в области агрономии, изучает и внедряет передовые методы возделывания полевых, садовых, огородных культур, разрабатывает технологию по борьбе с сорняками",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,13 апреля 2023,9100,"Общество с ограниченной ответственностью ""Терра""",Не имеет значения,Стажировка,Нет,РФ,"Стажировка. Управление тракторами с прицепными и навесными сельскохозяйственными орудиями, самоходными и другими сельскохозяйственными машинами при выполнении работ в растениеводстве. Участие в ремонте, обслуживании и заправке топливом сельскохозяйственных машин.",NULL,Полное общее,NULL,Неполный рабочий день
Тракторист-машинист,13 апреля 2023,20000,"Общество с ограниченной ответсвенностью ""Агрополе""",Не имеет значения,Вахтовый метод,Нет,РФ,"Управление тракторами с прицепными и навесными сельскохозяйственными орудиями, самоходными и другими сельскохозяйственными машинами при выполнении работ в растениеводстве. Участие в ремонте, обслуживании и заправке топливом сельскохозяйственных машин.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,13 апреля 2023,21000,Крестьянское фермерское хозяйство Парамонов Роман Андреевич,Молодой специалист (1-3 года),Сезонная,Нет,РФ,"Управление тракторами с прицепными и навесными сельскохозяйственными орудиями, самоходными и другими сельскохозяйственными машинами при выполнении работ в растениеводстве. Участие в ремонте, обслуживании и заправке топливом сельскохозяйственных машин.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,13 апреля 2023,18048,"Общество с ограниченной ответственностью "" Восток ЛУ ЦЗЯН """,Не имеет значения,Стажировка,Нет,РФ,"Управление трактором и сельскохозяйственными машинами с прицепными и навесными сельскохозяйственными орудиями. Заправка топливом и смазывание трактора, навесных и прицепных устройств. Участие в ремонте обслуживаемых тракторов и сельскохозяйственных машин.",NULL,Полное общее,NULL,Полный рабочий день
Агроном,13 апреля 2023,19500,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖУН СЯН""",Эксперт (3-6 лет),Сезонная,Нет,РФ,"Определение и постановка целей, задач, связанных с производством товарной продукции и его эксплуатационным обеспечением. Организация и планирование оперативной производственной деятельности, обеспечение своевременного выполнения производственных заданий. Контроль, анализ и оценка результатов производственно-хозяйственной деятельности предприятия.",NULL,Высшее,NULL,Полный рабочий день
Тракторист-машинист,13 апреля 2023,21060,"Общество с ограниченной ответственностью ""ЛАЙ ФУ""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,"Управление трактором с прицепными и навесными сельскохозяйственными орудиями  при выполнении различных работ в растениеводстве. Заправка топливом и смазывание трактора, навесных и прицепных устройств. Участие в ремонте обслуживаемго трактора. Осуществление монтажа и демонтажа прицепных и навесных сельскохозяйственных устройств.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,13 апреля 2023,25000,Крестьянское (фермерское) хозяйство Норкулова Шахида Ахроловна,Эксперт (3-6 лет),Полная,Нет,РФ,"Проведение научных исследований в области агрономии, агрохимии, почвоведения, защиты растений; изучение и внедрение передовых методов возделывания полевых, садовых, огородных культур. Выполнение родственных по содержанию обязанностей.",NULL,Высшее,NULL,Полный рабочий день
Агроном,13 апреля 2023,25000,Крестьянское (фермерское) хозяйство Норкулова Шахида Ахроловна,Эксперт (3-6 лет),Полная,Нет,РФ,"Проведение научных исследований в области агрономии, агрохимии, почвоведения, защиты растений; изучение и внедрение передовых методов возделывания полевых, садовых, огородных культур. Выполнение родственных по содержанию обязанностей.",NULL,Высшее,NULL,Полный рабочий день
Агроном,13 апреля 2023,28000,"Общество с ограниченной ответственностью ""Еврейский аграрий""",Молодой специалист (1-3 года),Полная,Нет,РФ,Осуществление руководства и координация деятельности предприятия связанная с производством товарной продукции и его эксплуатационным обеспечением. Выполнение своих должностных обязанностей при общем руководстве предприятия и взаимодействие  с руководителями других структурных подразделений. Выполнение других родственных по содержанию обязанностей.,NULL,Высшее,NULL,Полный рабочий день
Ветеринарный врач,13 апреля 2023,33614,"Филиал БУ ""Ветеринарный центр"" в городе Советском",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Ненормированный рабочий день
Зоотехник,13 апреля 2023,50007,"МУ СХП ""ВОЗРОЖДЕНИЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Зоотехник,13 апреля 2023,56928,"МУ СХП ""ВОЗРОЖДЕНИЕ""",Не имеет значения,Полная,Нет,РФ,NULL,селекционер,Среднее профессиональное,NULL,Полный рабочий день
Изготовитель орудий лова,13 апреля 2023,42229,"МП ""НПРЗ""",Не имеет значения,Полная,Нет,РФ,"Перекатка, размотка, распаковка бухт, растительных и синтетических канатов и шнуров; натяжение, отмеривание, резка (рубка) вручную растительных и синтетических канатов или шнуров требуемых размеров; закрепление распустившихся концов и сматывание заготовок в бухты.— Распаковка кип сетного полотна, провяз дели; распаковка поступивших в ремонт сетных орудий лова.— Растакелаживание орудий лова.— Обшивка кип упаковочной тканью.— Развешивание сетных орудий лова на вешала для ремонта и снятие их после ремонта.— Сворачивание сетных орудий лова вручную и при помощи механизмов.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Водитель автомобиля,13 апреля 2023,25988,"Общество с ограниченной ответственностью ""Волоковое""",Молодой специалист (1-3 года),Полная,Нет,РФ,принятие участия в посевных и уборочных компаниях по уборке зерновых культур,NULL,Среднее профессиональное,NULL,Неполный рабочий день
Птицевод,13 апреля 2023,15000,АО «МОК «БРАТКОВСКИЙ»,Не имеет значения,Полная,Нет,РФ,"Выполнять    механизированные   работы   по   уходу   за  взрослым поголовьем птицы промышленного стада  напольного  содержания,  молодняком промышленного стада и бройлерами, поение и кормление птицы;Осуществлять   мероприятия  по  повышению   продуктивности  птицы, кормлению ее сбалансированными по питательным веществам кормами;Регулировать   воздухообмен,   температуру  и  влажность воздуха в помещениях для птицы;Убирать помещения, проводить мойку поилок, чистку кормушек;Участвовать в проведении профилактических мероприятий;Проводить сортировку, отбор и выбраковку птицы;Проводить взвешивание молодняка и взрослой птицы;",NULL,Среднее профессиональное,NULL,Сменный график
Ветеринарный врач,13 апреля 2023,33000,"АО ""АЛЕКСЕЕВСКИЙ БЕКОН""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист,13 апреля 2023,20000,"СПК ""КРАСНАЯ ЗВЕЗДА""",Не имеет значения,Полная,Нет,РФ,"согласно должностной инструкции умение управлять трактором, его ремонт, поддержание в рабочем состоянии",NULL,Полное общее,NULL,Полный рабочий день
Главный зоотехник,13 апреля 2023,20303,"общество с ограниченной ответственностью ""Сибирь""",Молодой специалист (1-3 года),Полная,Нет,РФ,"расчеты и составление рациона кормления животных, селекционная работа по воспроизводсту",Ответственность,Среднее профессиональное,NULL,Полный рабочий день
Агроном,13 апреля 2023,21000,"КФХ, ИП Близнец Рабига Рафиковна",Эксперт (3-6 лет),Полная,Нет,РФ,"проводит научные исследования в области агрономии, разрабатывает и внендряет технологии по борьбе с вредителями, болезнями растений и сорняками, разрабатывает производственные планы, виды и количества посадочных культур.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,13 апреля 2023,20000,"КФХ, ИП Близнец Рабига Рафиковна",Эксперт (3-6 лет),Полная,Нет,РФ,"Обработка почвы, подвоз кормов. Уметь управлять тракторами, которые закреплены за ним; осуществлять заправку трактора перед началом работы. Устранять возникающие во время работы мелкие эксплуатационные неисправности, не требующие разборки механизмов.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,13 апреля 2023,23000,"ООО ""Да Тадо""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,"Изучает и внедряет передовые методы возделывания полевых, садовых, огородных культур. Разрабатывает и внедряет технологии по борьбе с вредителями, болезнями растений и сорняками.",NULL,Среднее профессиональное,NULL,Ненормированный рабочий день
Овощевод,13 апреля 2023,20500,"ООО ""Да Тадо""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,"Подготовка почвы к посеву и посадке, подготовка семян и посадочного материала. Посев полевых культур и производит посадку огородных культур. Выращивает и ухаживает за посевами и посадками.",NULL,Среднее профессиональное,NULL,Ненормированный рабочий день
Тракторист-машинист,13 апреля 2023,22000,"ООО ""Да Тадо""",Молодой специалист (1-3 года),Сезонная,Нет,РФ,"Управлять трактором. Осматривать технику, по мере возможности и необходимости, заправлять топливом и смазывать маслом, то есть оказывать должный уход. При поломках производить ремонт трактора. При обнаружении дефектов, составлять соответствующие описи и ведомости. Приступать к работе только в спецодежде и после допуска медицинского работника к ней.",NULL,Среднее профессиональное,NULL,Ненормированный рабочий день
Тракторист-машинист,13 апреля 2023,35000,"СХПК ""НОВОЛИТОВСКИЙ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,22000,ООО ВОСКРЕСЕНЬЕ АГРО,Не имеет значения,Полная,Нет,РФ,"ВЫПОЛНЯЕТ МАШИННОЕ ДОЕНИЕ КОРОВ, РАЗДАЕТ КОРМ, ВЫПОЛНЯЕТ МЕРОПРИЯТИЯ ПО УЛУЧШЕНИЮ СОДЕРЖАНИЯ ЖИВОТНЫХ, КОРМЛЕНИЮ СБАЛАНСИРОВАННЫМИ ПО ПИТАТЕЛЬНЫМ ВЕЩЕСТВАМ КОРМАМИ В ЦЕЛЯХ ПОВЫШЕНИЯ МОЛОЧНОЙ ПРОДУКТИВНОСТИ.",NULL,Полное общее,NULL,Гибкий график
Тракторист-машинист,13 апреля 2023,24000,ООО ВОСКРЕСЕНЬЕ АГРО,Не имеет значения,Полная,Нет,РФ,"УПРАВЛЕНИЕ ТРАКТОРАМИ, КОМБАЙНАМИ, ЗАНИМАЕТСЯ ИХ РЕМОНТОМ, ПОДДЕРЖАНИЕМ  В РАБОЧЕМ СОСТОЯНИИ, А ТАКЖЕ ВСПАХИВАНИЕМ, ЗАСЕИВАНИЕМ ЗЕМЕЛЬ СЕЛЬСКОХОЗЯЙСТВЕННОГО НАЗНАЧЕНИЯ, УБОРКОЙ, ПЕРЕВОЗКОЙ УРОЖАЯ, ЗАГОТОВКОЙ КОРМОВ, РЫТЬЕМ ТРАНШЕЙ, РАСЧИСТКОЙ СНЕГА.",NULL,Среднее профессиональное,NULL,Гибкий график
Оператор машинного доения,13 апреля 2023,25116,"ООО ""СП НЮКСЕНСКИЙ МАСЛОЗАВОД-2""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Машинное доение коров, мойка аппаратов и оборудования, кормление коров.",Дисциплинированность,Полное общее,NULL,Сменный график
Оператор машинного доения,13 апреля 2023,40000,КОЛХОЗ ИМЕНИ ЛЕНИНА,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Гибкий график
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Оператор машинного доения,13 апреля 2023,17571,"Общество с ограниченной ответственностью племенной завод ""Новомедянское""",Не имеет значения,Полная,Нет,РФ,"Дойка, раздача кормов, очистка кормушек, поилок, уход за телятами.",NULL,Полное общее,NULL,Сменный график
Животновод,13 апреля 2023,18679,"ООО ""АГРОФИРМА""ПОДГОРЦЫ""",Не имеет значения,Полная,Нет,РФ,"раздача кормов всех видов, чистка кормушек, выгон коров, смена подстилки, чистка и дизинфекция клеток",NULL,Полное общее,NULL,Гибкий график
Тракторист-машинист,13 апреля 2023,17571,"СПК (КОЛХОЗ) ""ИМЕНИ СВЕРДЛОВА""",Не имеет значения,Вахтовый метод,Нет,РФ,"работа на комбайне, уборка, посев зерновых культур, внесение удобрений с соблюдением агротехнических требований",Удостоверение тракториста-машиниста кат. B,Среднее профессиональное,NULL,Полный рабочий день
Ветеринарный врач,16 июля 2020,17745,Калужский филиал ФГБОУ ВО РГАУ–МСХА имени К.А.Тимирязева,Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Сменный график
Тракторист-машинист,13 апреля 2023,25000,"Общество с ограниченной ответственностью ""Лю Чжикуй""",Молодой специалист (1-3 года),Вахтовый метод,Нет,РФ,Выбирает различные виды движения машинно-тракторных агрегатов в зависимости от конфигурации поля и состава агрегата; выполняет агрегатирование трактора с навесным оборудованием.,NULL,Среднее профессиональное,NULL,Ненормированный рабочий день
Ветеринарный врач,13 апреля 2023,18679,"ООО ""СП НЮКСЕНСКИЙ МАСЛОЗАВОД-2""",Не имеет значения,Полная,Нет,РФ,Осуществляет деятельность по ветеринарному обслуживанию животных.,NULL,Высшее,NULL,Ненормированный рабочий день
Зоотехник,13 апреля 2023,45000,"АО ""ЛЮБАНЬ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,20000,"СПК ""ПРИШИБ """,Не имеет значения,Полная,Нет,РФ,"Выполнять машинное доение, соблюдать правила машинного доения, мыть и чистить молочную посуду .Соблюдать ветеринарно-санитарные правила на молочной ферме. Проверять аппараты на частоту пульсаций контролировать их работу",NULL,NULL,NULL,Полный рабочий день
Зоотехник,13 апреля 2023,25000,Индивидуальный предприниматель глава крестьянского (фермерского) хозяйства Гулаксизова Антонина Михайловна,Не имеет значения,Полная,Нет,РФ,"Разработка кормовой программы рационов, контроль качества продукции, консультирование специалистов организации, разработка рекомендаций кормления животных, ведение документации и составление отчетности.",NULL,Высшее,NULL,Полный рабочий день
Животновод,13 апреля 2023,25000,"ООО ""АГРОФИРМА""ПОДГОРЦЫ""",Не имеет значения,Полная,Нет,РФ,"раздача кормов всех видов, чистка кормушек, выгон коров, смена подстилки, чистка и дизинфекция клеток",NULL,Полное общее,NULL,Гибкий график
Водитель автомобиля,13 апреля 2023,30000,"АО ""КУБАНЬ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Обеспегрузовые автомобили  профессиональное управление автомобилями всех типов, максимально обеспечивающее сохранность жизни и здоровья пассажиров и технически исправное состояние самих автомобилей. Не применять без крайней необходимости звуковые сигналы и резкие обгоны впереди идущих транспортных средств. Предвидеть любую дорожную обстановку, выбирать скорость движения и дистанцию, исключающие возникновение аварийной ситуации.",NULL,Полное общее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,25000,ЗАО ИМЕНИ МИЧУРИНА,Не имеет значения,Полная,Нет,РФ,Осуществление ухода и  кормления животных согласно должностной инструкции,NULL,Полное общее,NULL,Сменный график
Зоотехник,13 апреля 2023,29100,ФКУ ИК-14 УФСИН РОССИИ ПО ХАБАРОВСКОМУ КРАЮ,Не имеет значения,Полная,Нет,РФ,Выполнение обязанностей согласно разработанной должностной инструкции. Опыт работы с вычислительной техникой,NULL,Высшее,NULL,Полный рабочий день
Оператор машинного доения,13 апреля 2023,40000,"ЗАО ""ЛЕОНТЬЕВО""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Птицевод,13 апреля 2023,45250,"АО П/Ф ""ТУЛЬСКАЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Птицевод,13 апреля 2023,30000,"ООО ""БГК - ВН""",Не имеет значения,Полная,Нет,РФ,выполнение обязанностей в соответствии с должностной инструкцией,NULL,Полное общее,NULL,Сменный график
Зоотехник,13 апреля 2023,25000,АО «МОК «БРАТКОВСКИЙ»,Молодой специалист (1-3 года),Полная,Нет,РФ,". Производит расчеты требуемого количества кормов для обслуживания животных и представляет их на утверждение руководителю организации. Формировать группы животных, размещать стадо по площадям фермы, летним выгулам. Составлять кормовые балансы, участвовать в разработке планов и составлении заявок на заготовку кормов. Контролировать поступление, складирование, хранение и расходование кормов. Внедрять эффективные способы приготовления кормов для лучшего их скармливания. Контролировать качество их приготовления и соблюдение норм раздачи кормов.Изучает и внедряет эффективные методы разведения, выращивания скота. Разрабатывать рациональные способы использования производственных площадей,   площадок для складирования и хранения кормов, навоза, выгульных площадок и благоустройства фермы.",NULL,Высшее,NULL,Ненормированный рабочий день
Тракторист-машинист,13 апреля 2023,35000,"ООО КОМПАНИЯ ""БИО-ТОН""",Не имеет значения,Сезонная,Нет,РФ,"Управление тракторами различных систем, работающих на жидком топливе, при транспортировке различных грузов, машин, механизмов, металлоконструкций разной массы и габаритов с применением навесного оборудования. Проверка состояния трактора, его исправности. Устранение имеющихся недостатков.",NULL,Полное общее,NULL,Сменный график
Оператор машинного доения,13 апреля 2023,18679,"ООО ""СПК ИМ.ЛЕНИНА""",Не имеет значения,Полная,Нет,РФ,"Доение коров с помощью доильных аппаратов; разборка, сборка, промывка и дезинфекция доильных аппаратов; устранение неполадок.",NULL,Полное общее,NULL,Полный рабочий день
Животновод,13 апреля 2023,19000,"ООО АГРОФИРМА ""ЧУДИНОВСКАЯ""",Не имеет значения,Полная,Нет,РФ,"чистка стойл у животных, уборка тамбуров,  подкидывает корм животным, несет ответственность за сохранность поголовья во время работы",NULL,Полное общее,NULL,Гибкий график
Ветеринарный врач,13 апреля 2023,18000,"ГБУВК ""Пермский ВДЦ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Зоотехник,13 апреля 2023,50000,"ООО ""ДОН АГРО""",Молодой специалист (1-3 года),Полная,Нет,РФ,"4.1. Проводит научные исследования в области животноводства.4.2. Изучает и внедряет передовые методы разведения, выращивания скота и птицы.4.3. Производит расчеты требуемого количества кормов для обслуживания животных и представляет их на утверждение руководству.4.4. Производит отбор животных на племя, отбор и подбор пар.4.5. Определяет режим содержания животных (температура, влажность воздуха, газообмен, пр.) и осуществляет контроль за его соблюдением.4.6. Осуществляет контроль и координирует работу по разведению, выращиванию животных и ухода за ними.4.7. Организует работы по искусственному вскармливанию молодняка и ухода за ним.4.8. Разрабатывает мероприятия по проведению санитарно-профилактических работ, уборке и чистке животных.4.9. Организует учет продуктивности животных.",NULL,Среднее профессиональное,NULL,Полный рабочий день
